METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d
Twin / Disability,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,$2.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,No,50377,"{""coordinates"": [-123.12076024176856, 49.26239524175283], ""type"": ""Point""}",Fairview,D00711,"49.26239524175283, -123.12076024176856"
Pay Station,$3.00,$2.00,$3.00,$2.00,$3.00,$2.00,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,59986,"{""coordinates"": [-123.10596626096681, 49.27116811437283], ""type"": ""Point""}",Mount Pleasant,NA1608,"49.27116811437283, -123.10596626096681"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,Yes,57914,"{""coordinates"": [-123.1068670517033, 49.2642925505692], ""type"": ""Point""}",Mount Pleasant,762309,"49.2642925505692, -123.1068670517033"
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59869,"{""coordinates"": [-123.10412735047863, 49.26641413307393], ""type"": ""Point""}",Mount Pleasant,A50014,"49.26641413307393, -123.10412735047863"
Single / Disability,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,56319,"{""coordinates"": [-123.0546865855585, 49.2809728131768], ""type"": ""Point""}",Hastings-Sunrise,KL0401,"49.2809728131768, -123.0546865855585"
Single / Disability,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,$2.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,52003,"{""coordinates"": [-123.15064747990755, 49.268015145642174], ""type"": ""Point""}",Kitsilano,B42002,"49.268015145642174, -123.15064747990755"
Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,66421,"{""coordinates"": [-123.1303959353704, 49.27770361648982], ""type"": ""Point""}",Downtown,170912,"49.27770361648982, -123.1303959353704"
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,66405,"{""coordinates"": [-123.13050294632899, 49.27777365812309], ""type"": ""Point""}",Downtown,170914,"49.27777365812309, -123.13050294632899"
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56972,"{""coordinates"": [-123.1005531550985, 49.25393690221098], ""type"": ""Point""}",Riley Park,C90203,"49.25393690221098, -123.1005531550985"
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$0.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59817,"{""coordinates"": [-123.0551575569902, 49.28122986937337], ""type"": ""Point""}",Hastings-Sunrise,072435,"49.28122986937337, -123.0551575569902"
